type,text
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,Oops i thk i dun haf enuff... I go check then tell u..
spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
ham,"Ah, well that confuses things, doesn€˜t it?"
ham,Now i'm going for lunch.
ham,No..its ful of song lyrics..
ham,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is
ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
ham,S:-)kallis wont play in first two odi:-)
ham,Every day i use to sleep after # so only.
ham,I went to project centre
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
ham,Are there TA jobs available? Let me know please cos i really need to start working
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
ham,Also maaaan are you missing out
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
ham,"Aight will do, thanks again for comin out"
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,Oh... Okie lor...We go on sat...
ham,HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
ham,Where is that one day training:-)
ham,Hey what happen de. Are you alright.
ham,I dont know exactly could you ask chechi.
ham,i cant talk to you now.i will call when i can.dont keep calling.
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks
ham,"Just dropped em off, omw back now"
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,I will lick up every drop :) are you ready to use your mouth as well?
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,Are you plans with your family set in stone ?
ham,So u workin overtime nigpun?
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!"
ham,and picking them up from various points
ham,Shopping lor. Them raining mah hard 2 leave orchard.
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,Oh k...i'm watching here:)
ham,Yes princess! I want to make you happy...
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
ham,See? I thought it all through
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
spam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply."
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
ham,K. I will sent it again
ham,Ryder unsold.now gibbs.
ham,Tell where you reached
ham,Dude sux for snake. He got old and raiden got buff
ham,Sday only joined.so training we started today:)
ham,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!"
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,Is there coming friday is leave for pongal?do you get any news from your work place.
ham,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,"I'm not sure, I was just checking out what was happening around the area"
ham,I will come tomorrow di
spam,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
ham,And several to you sir.
ham,I'm done oredi...
ham,"Alright, we're all set here, text the man"
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
ham,ok. I am a gentleman and will treat you with dignity and respect.
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
ham,Delhi and chennai still silent.
ham,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one u cut ur hair.
ham,Thank u!
ham,Ok.ok ok..then..whats ur todays plan
ham,Hi its in durban are you still on this number
ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
ham,"Haha, just what I was thinkin"
ham,On ma way to school. Can you pls send me ashley's number
ham,Yes. Rent is very expensive so its the way we save.
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
ham,Sorry da. I gone mad so many pending works what to do.
ham,Feb # is I LOVE U day. Send dis to all ur VALUED FRNDS evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr
ham,Call him and say you not coming today ok and tell them not to fool me like this ok
ham,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am
ham,You see the requirements please
ham,"We made it! Eta at taunton is 12:30 as planned, hope that€˜s still okday?! Good to see you! :-xx"
ham,Pandy joined 4w technologies today.he got job..
ham,Apo all other are mokka players only
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50
ham,I'll probably be by tomorrow (or even later tonight if something's going on)
ham,"Say this slowly.? GOD,I LOVE YOU & I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people & u c miracle tomorrow, do it,pls,pls do it..."
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
spam,"accordingly. I repeat, just text the word ok on your mobile phone and send"
ham,You call times job today ok umma and ask them to speed up
ham,I'm awake oh. What's up.
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
ham,Still i have not checked it da. . .
ham,Tmrw. Im finishing 9 doors
ham,1 I don't have her number and 2 its gonna be a massive pain and i'd rather not get involved if that's possible
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x"
ham,Went to pay rent. So i had to go to the bank to authorise the payment.
ham,U don't remember that old commercial?
ham,I'm hungry buy smth home...
spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
spam,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8"
ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
ham,Alright. I'm out--have a good night!
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
spam,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!"
ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much."
ham,am up to my eyes in philosophy
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
ham,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X"
ham,Aiyo a bit pai seh u noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
ham,"No, I was trying it all weekend ;V"
ham,Gibbs unsold.mike hussey
ham,You made my day. Do have a great day too.
ham,1's reach home call me.
ham,I'm glad. You are following your dreams.
ham,Howz pain?hope u r fine..
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
ham,THIS IS A LONG SHOWR
ham,Then we wait 4 u lor... No need 2 feel bad lar...
ham,Did u find out what time the bus is at coz i need to sort some stuff out.
ham,How come i din c u... Yup i cut my hair...
ham,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks."
ham,Ok
ham,Gettin rdy to ship comp
ham,"Like I made him throw up when we were smoking in our friend's car one time, it was awesome"
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
ham,Stupid.its not possible
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,"Nothing, i got msg frm tht unknown no.."
ham,That is wondarfull song
ham,Well its not like you actually called someone a punto. That woulda been worse.
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
spam,88800 and 89034 are premium phone services call 08718711108
ham,Hey morning what you come to ask:-) pa...
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
ham,"Yes, princess. Toledo."
ham,I'm going for bath will msg you next # min..
ham,Kay... Since we are out already
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
ham,Oh that was a forwarded message. I thought you send that to me
ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
ham,Yunny i'm walking in citylink now u faster come down... Me very hungry...
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
ham,K. Did you call me just now ah?
ham,Ok ok take care. I can understand.
ham,"Yep, by the pretty sculpture"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham,But am going to college pa. What to do. are else ill come there it self. Pa.
ham,"says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
ham,"Sorry, I'll call later"
spam,You have 1 new message. Call 0207-083-6089
ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a # movie DOESNT inlude the previews. You're still getting in after 1."
ham,If I get there before you after your ten billion calls and texts so help me god
spam,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p"
ham,Where can download clear movies. Dvd copies.
ham,Your right! I'll make the appointment right now.
ham,Okie
ham,"Oh yes, why is it like torture watching england?"
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,"HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX"
ham,Y bishan lei... I tot u say lavender?
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
ham,Cuz ibored. And don wanna study
ham,Do you like shaking your booty on the dance floor?
ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
ham,Its # k here oh. Should i send home for sale.
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit & Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning & Have A Happy Day:)
ham,Take us out shopping and Mark will distract Isaiah.=D
ham,Lol no ouch but wish i'd stayed out a bit longer
ham,Well I'm going to be an aunty!
ham,WHORE YOU ARE UNBELIEVABLE.
ham,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.
spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!"
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
spam,You have an important customer service announcement from PREMIER.
ham,Sent me ur email id soon
ham,Still otside le..u come 2morrow maga..
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
ham,Have you seen who's back at Holby?!
spam,ringtoneking 84484
ham,"Storming msg: Wen u lift d phne, u say HELLO Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? Margaret Hello She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
ham,"Sorry, I'll call later"
ham,"Height of Confidence: All the Aeronautics professors wer calld & they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:if it is made by my students,this wont even start........ Datz confidence.."
ham,"Me not waking up until 4 in the afternoon, sup"
ham,"Yeah, don't go to bed, I'll be back before midnight"
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
ham,You available now? I'm like right around hillsborough & # th
ham,"I'm in a meeting, call me later at"
ham,What happen to her tell the truth
ham,Maybe you should find something else to do instead???
ham,U still painting ur wall?
ham,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.
ham,"Miss ya, need ya, want ya, love ya."
ham,"House-Maid is the murderer, coz the man was murdered on # th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
ham,"U so lousy, run already come back then half dead... Hee..."
ham,Where u been hiding stranger?
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,Good Morning plz call me sir
ham,And I don't plan on staying the night but I prolly won't be back til late
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
ham,No messages on her phone. I'm holding it now
ham,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.
ham,"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)"
ham,"It€˜s £6 to get in, is that ok?"
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
ham,Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing
ham,Can i meet u at 5.. As 4 where depends on where u wan 2 in lor..
ham,Dunno lei... I might b eatin wif my frens... If u wan to eat then i wait 4 u lar
ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
spam,"Latest Nokia Mobile or iPOD MP3 Player +£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.£1,50/Mtmsgrcvd18+"
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham,ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX
ham,Sac needs to carry on:)
ham,How come she can get it? Should b quite diff to guess rite...
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
ham,Hanging out with my brother and his family
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
ham,No da. I am happy that we sit together na
ham,Lolnice. I went from a fish to ..water.?
ham,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...
ham,I thought slide is enough.
ham,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
ham,That's cause your old. I live to be high.
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
ham,No no. I will check all rooms befor activities
spam,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
ham,As in different styles?
spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
ham,A swt thought: Nver get tired of doing little things 4 lovable persons.. Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
ham,U dun say so early hor... U c already then say...
spam,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
ham,What is the plural of the noun research?
ham,"I hav almost reached. Call, i m unable to connect u."
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
ham,K da:)how many page you want?
ham,Howz that persons story
ham,Can. Dunno wat to get 4 her...
ham,Well welp is sort of a semiobscure internet thing
ham,Then u come n pick me at 530 ar?
ham,No current and food here. I am alone also
ham,"I want to show you the world, princess :) how about europe?"
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
ham,Horrible gal. Me in sch doing some stuff. How come u got mc?
ham,"Babe, I'm back ... Come back to me ..."
ham,Well you told others you'd marry them...
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel
ham,Change windows logoff sound..
spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
ham,You were supposed to wake ME up :(
ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
spam,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345
ham,Do u noe how 2 send files between 2 computers?
ham,I'm at work. Please call
ham,"Gosh that , what a pain. Spose I better come then."
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,7 lor... Change 2 suntec... Wat time u coming?
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
ham,Ill call you evening ill some ideas.
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
ham,Hey i will be late ah... Meet you at 945+
ham,I know you mood off today
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
ham,Daddy will take good care of you :)
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,"alright, I'll make sure the car is back tonight"
ham,Just send a text. We'll skype later.
ham,Yup ok thanx...
ham,Done it but internet connection v slow and can€˜t send it. Will try again later or first thing tomo.
ham,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
ham,CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X
ham,Did u got that persons story
ham,Then u wait 4 me at bus stop aft ur lect lar. If i dun c u then i go get my car then come back n pick u.
ham,God bless.get good sleep my dear...i will pray!
ham,Hey happy birthday...
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,7 at esplanade.. Do u mind giving me a lift cos i got no car today..
ham,Just do what ever is easier for you
spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
ham,"I€˜ve got some salt, you can rub it in my open wounds if you like!"
ham,Lol u still feeling sick?
ham,Okie
ham,"Cool, text me when you head out"
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of # Lacs.there is no source to arng dis amt. # lacs..thats my prob
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.
ham,Dun need to use dial up juz open da browser n surf...
ham,Just got outta class gonna go gym.
ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)
ham,I will treasure every moment we spend together...
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
ham,Did he just say somebody is named tampa
ham,Ok...
ham,R u comin back for dinner?
ham,I tot it's my group mate... Lucky i havent reply... Wat time do u need to leave...
ham,Hello! Good week? Fancy a drink or something later?
ham,Finished class where are you.
ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
spam,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,Hi msg me:)i'm in office..
ham,They said u dun haf passport or smth like dat.. Or u juz send to my email account..
spam,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
ham,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?"
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?
ham,.Please charge my mobile when you get up in morning.
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
ham,"Sorry, I'll call later"
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
spam,You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
ham,They will pick up and drop in car.so no problem..
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
ham,thanks for the temales it was wonderful. Thank. Have a great week.
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
ham,R u saying i should re order the slippers cos i had to pay for returning it.
ham,K:)i will give my kvb acc details:)
ham,Have you started in skye
spam,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
